Epoch 0, lr 0.0005

(0,420) 0 step loss : 0.001888
(0,420) epoch loss : 0.030212
Epoch 1, lr 0.0005

(1,420) 0 step loss : 0.001841
(1,420) epoch loss : 0.029461
Epoch 2, lr 0.0005

(2,420) 0 step loss : 0.001780
(2,420) epoch loss : 0.028474
Epoch 3, lr 0.0005

(3,420) 0 step loss : 0.001709
(3,420) epoch loss : 0.027338
Epoch 4, lr 0.0005

(4,420) 0 step loss : 0.001634
(4,420) epoch loss : 0.026146
Epoch 5, lr 0.0005

(5,420) 0 step loss : 0.001560
(5,420) epoch loss : 0.024963
Epoch 6, lr 0.0005

(6,420) 0 step loss : 0.001491
(6,420) epoch loss : 0.023862
Epoch 7, lr 0.0005

(7,420) 0 step loss : 0.001430
(7,420) epoch loss : 0.022879
Epoch 8, lr 0.0005

(8,420) 0 step loss : 0.001370
(8,420) epoch loss : 0.021922
Epoch 9, lr 0.0005

(9,420) 0 step loss : 0.001327
(9,420) epoch loss : 0.021229
Epoch 10, lr 0.0005

(10,420) 0 step loss : 0.001288
(10,420) epoch loss : 0.020608
Epoch 11, lr 0.0005

(11,420) 0 step loss : 0.001257
(11,420) epoch loss : 0.020104
Epoch 12, lr 0.0005

(12,420) 0 step loss : 0.001234
(12,420) epoch loss : 0.019738
Epoch 13, lr 0.0005

(13,420) 0 step loss : 0.001213
(13,420) epoch loss : 0.019415
Epoch 14, lr 0.0005

(14,420) 0 step loss : 0.001204
(14,420) epoch loss : 0.019272
Epoch 15, lr 0.0005

(15,420) 0 step loss : 0.001198
(15,420) epoch loss : 0.019162
Epoch 16, lr 0.0005

(16,420) 0 step loss : 0.001187
(16,420) epoch loss : 0.018998
Epoch 17, lr 0.0005

(17,420) 0 step loss : 0.001188
(17,420) epoch loss : 0.019005
Epoch 18, lr 0.0005

(18,420) 0 step loss : 0.001193
(18,420) epoch loss : 0.019094
Epoch 19, lr 0.0005

(19,420) 0 step loss : 0.001183
(19,420) epoch loss : 0.018921
Epoch 20, lr 0.0005

(20,420) 0 step loss : 0.001184
(20,420) epoch loss : 0.018941
Epoch 21, lr 0.0005

(21,420) 0 step loss : 0.001172
(21,420) epoch loss : 0.018752
Epoch 22, lr 0.0005

(22,420) 0 step loss : 0.001163
(22,420) epoch loss : 0.018611
Epoch 23, lr 0.0005

(23,420) 0 step loss : 0.001166
(23,420) epoch loss : 0.018663
Epoch 24, lr 0.0005

(24,420) 0 step loss : 0.001160
(24,420) epoch loss : 0.018553
Epoch 25, lr 0.0005

(25,420) 0 step loss : 0.001147
(25,420) epoch loss : 0.018346
Epoch 26, lr 0.0005

(26,420) 0 step loss : 0.001134
(26,420) epoch loss : 0.018137
Epoch 27, lr 0.0005

(27,420) 0 step loss : 0.001126
(27,420) epoch loss : 0.018015
Epoch 28, lr 0.0005

(28,420) 0 step loss : 0.001122
(28,420) epoch loss : 0.017948
Epoch 29, lr 0.0005

(29,420) 0 step loss : 0.001108
(29,420) epoch loss : 0.017731
Epoch 30, lr 0.0005

(30,420) 0 step loss : 0.001102
(30,420) epoch loss : 0.017640
Epoch 31, lr 0.0005

(31,420) 0 step loss : 0.001093
(31,420) epoch loss : 0.017489
Epoch 32, lr 0.0005

(32,420) 0 step loss : 0.001087
(32,420) epoch loss : 0.017395
Epoch 33, lr 0.0005

(33,420) 0 step loss : 0.001078
