Epoch 0, lr 0.01

(0,420) 0 step loss : 0.001826
(0,420) epoch loss : 0.029221
Epoch 1, lr 0.01

(1,420) 0 step loss : 0.037569
(1,420) epoch loss : 0.601101
Epoch 2, lr 0.01

(2,420) 0 step loss : 0.003838
(2,420) epoch loss : 0.061403
Epoch 3, lr 0.01

(3,420) 0 step loss : 0.008734
(3,420) epoch loss : 0.139747
Epoch 4, lr 0.01

(4,420) 0 step loss : 0.020397
(4,420) epoch loss : 0.326359
Epoch 5, lr 0.01

(5,420) 0 step loss : 0.014876
(5,420) epoch loss : 0.238023
Epoch 6, lr 0.01

(6,420) 0 step loss : 0.004744
(6,420) epoch loss : 0.075910
Epoch 7, lr 0.01

(7,420) 0 step loss : 0.001453
(7,420) epoch loss : 0.023246
Epoch 8, lr 0.01

(8,420) 0 step loss : 0.005743
(8,420) epoch loss : 0.091886
Epoch 9, lr 0.01

(9,420) 0 step loss : 0.009953
(9,420) epoch loss : 0.159251
Epoch 10, lr 0.01

(10,420) 0 step loss : 0.009081
(10,420) epoch loss : 0.145301
Epoch 11, lr 0.01

(11,420) 0 step loss : 0.004893
(11,420) epoch loss : 0.078286
Epoch 12, lr 0.01

(12,420) 0 step loss : 0.001664
(12,420) epoch loss : 0.026631
Epoch 13, lr 0.01

(13,420) 0 step loss : 0.001931
(13,420) epoch loss : 0.030896
Epoch 14, lr 0.01

(14,420) 0 step loss : 0.004423
(14,420) epoch loss : 0.070771
Epoch 15, lr 0.01

(15,420) 0 step loss : 0.005914
(15,420) epoch loss : 0.094617
Epoch 16, lr 0.01

(16,420) 0 step loss : 0.004914
(16,420) epoch loss : 0.078626
Epoch 17, lr 0.01

(17,420) 0 step loss : 0.002709
(17,420) epoch loss : 0.043350
Epoch 18, lr 0.01

(18,420) 0 step loss : 0.001390
(18,420) epoch loss : 0.022239
Epoch 19, lr 0.01

(19,420) 0 step loss : 0.001842
(19,420) epoch loss : 0.029469
Epoch 20, lr 0.01

(20,420) 0 step loss : 0.003130
(20,420) epoch loss : 0.050081
Epoch 21, lr 0.01

(21,420) 0 step loss : 0.003681
(21,420) epoch loss : 0.058897
Epoch 22, lr 0.01

(22,420) 0 step loss : 0.002964
(22,420) epoch loss : 0.047430
Epoch 23, lr 0.01

(23,420) 0 step loss : 0.001804
(23,420) epoch loss : 0.028858
Epoch 24, lr 0.01

(24,420) 0 step loss : 0.001294
(24,420) epoch loss : 0.020703
Epoch 25, lr 0.01

(25,420) 0 step loss : 0.001708
(25,420) epoch loss : 0.027325
Epoch 26, lr 0.01

(26,420) 0 step loss : 0.002379
(26,420) epoch loss : 0.038070
Epoch 27, lr 0.01

(27,420) 0 step loss : 0.002517
(27,420) epoch loss : 0.040277
Epoch 28, lr 0.01

(28,420) 0 step loss : 0.002015
(28,420) epoch loss : 0.032242
Epoch 29, lr 0.01

(29,420) 0 step loss : 0.001435
(29,420) epoch loss : 0.022960
Epoch 30, lr 0.01

(30,420) 0 step loss : 0.001323
(30,420) epoch loss : 0.021174
Epoch 31, lr 0.01

(31,420) 0 step loss : 0.001656
(31,420) epoch loss : 0.026495
Epoch 32, lr 0.01

(32,420) 0 step loss : 0.001951
(32,420) epoch loss : 0.031222
Epoch 33, lr 0.01

(33,420) 0 step loss : 0.001857
(33,420) epoch loss : 0.029707
Epoch 34, lr 0.01

(34,420) 0 step loss : 0.001502
(34,420) epoch loss : 0.024027
Epoch 35, lr 0.01

(35,420) 0 step loss : 0.001267
(35,420) epoch loss : 0.020273
Epoch 36, lr 0.01

(36,420) 0 step loss : 0.001339
(36,420) epoch loss : 0.021422
Epoch 37, lr 0.01

(37,420) 0 step loss : 0.001548
(37,420) epoch loss : 0.024761
Epoch 38, lr 0.01

(38,420) 0 step loss : 0.001609
(38,420) epoch loss : 0.025741
Epoch 39, lr 0.01

(39,420) 0 step loss : 0.001454
(39,420) epoch loss : 0.023271
Epoch 40, lr 0.01

(40,420) 0 step loss : 0.001272
(40,420) epoch loss : 0.020352
Epoch 41, lr 0.01

(41,420) 0 step loss : 0.001251
(41,420) epoch loss : 0.020011
Epoch 42, lr 0.01

(42,420) 0 step loss : 0.001364
(42,420) epoch loss : 0.021825
Epoch 43, lr 0.01

(43,420) 0 step loss : 0.001436
(43,420) epoch loss : 0.022972
Epoch 44, lr 0.01

(44,420) 0 step loss : 0.001371
(44,420) epoch loss : 0.021928
Epoch 45, lr 0.01

(45,420) 0 step loss : 0.001253
(45,420) epoch loss : 0.020042
Epoch 46, lr 0.01

(46,420) 0 step loss : 0.001215
(46,420) epoch loss : 0.019432
Epoch 47, lr 0.01

(47,420) 0 step loss : 0.001270
(47,420) epoch loss : 0.020313
Epoch 48, lr 0.01

(48,420) 0 step loss : 0.001318
(48,420) epoch loss : 0.021080
Epoch 49, lr 0.01

(49,420) 0 step loss : 0.001287
(49,420) epoch loss : 0.020592
Epoch 50, lr 0.01

(50,420) 0 step loss : 0.001218
(50,420) epoch loss : 0.019480
Epoch 51, lr 0.01

(51,420) 0 step loss : 0.001191
(51,420) epoch loss : 0.019054
Epoch 52, lr 0.01

(52,420) 0 step loss : 0.001221
(52,420) epoch loss : 0.019538
Epoch 53, lr 0.01

(53,420) 0 step loss : 0.001249
(53,420) epoch loss : 0.019978
Epoch 54, lr 0.01
