Epoch 0, lr 0.01

(0,600) 0 step loss : 0.001831
(0,600) epoch loss : 0.029301
Epoch 1, lr 0.01

(1,600) 0 step loss : 0.036021
(1,600) epoch loss : 0.576329
Epoch 2, lr 0.01

(2,600) 0 step loss : 0.003752
(2,600) epoch loss : 0.060027
Epoch 3, lr 0.01

(3,600) 0 step loss : 0.008651
(3,600) epoch loss : 0.138414
Epoch 4, lr 0.01

(4,600) 0 step loss : 0.019893
(4,600) epoch loss : 0.318295
Epoch 5, lr 0.01

(5,600) 0 step loss : 0.014542
(5,600) epoch loss : 0.232665
Epoch 6, lr 0.01

(6,600) 0 step loss : 0.004447
(6,600) epoch loss : 0.071158
Epoch 7, lr 0.01

(7,600) 0 step loss : 0.001426
(7,600) epoch loss : 0.022823
Epoch 8, lr 0.01

(8,600) 0 step loss : 0.005951
(8,600) epoch loss : 0.095222
Epoch 9, lr 0.01

(9,600) 0 step loss : 0.009967
(9,600) epoch loss : 0.159474
Epoch 10, lr 0.01

(10,600) 0 step loss : 0.008787
(10,600) epoch loss : 0.140594
Epoch 11, lr 0.01

(11,600) 0 step loss : 0.004564
(11,600) epoch loss : 0.073032
Epoch 12, lr 0.01

(12,600) 0 step loss : 0.001547
(12,600) epoch loss : 0.024755
Epoch 13, lr 0.01

(13,600) 0 step loss : 0.001967
(13,600) epoch loss : 0.031465
Epoch 14, lr 0.01

(14,600) 0 step loss : 0.004393
(14,600) epoch loss : 0.070294
Epoch 15, lr 0.01

(15,600) 0 step loss : 0.005727
(15,600) epoch loss : 0.091633
Epoch 16, lr 0.01

(16,600) 0 step loss : 0.004651
(16,600) epoch loss : 0.074422
Epoch 17, lr 0.01

(17,600) 0 step loss : 0.002483
(17,600) epoch loss : 0.039732
Epoch 18, lr 0.01

(18,600) 0 step loss : 0.001337
(18,600) epoch loss : 0.021394
Epoch 19, lr 0.01

(19,600) 0 step loss : 0.001890
(19,600) epoch loss : 0.030235
Epoch 20, lr 0.01

(20,600) 0 step loss : 0.003074
(20,600) epoch loss : 0.049187
Epoch 21, lr 0.01

(21,600) 0 step loss : 0.003419
(21,600) epoch loss : 0.054701
Epoch 22, lr 0.01

(22,600) 0 step loss : 0.002644
(22,600) epoch loss : 0.042307
Epoch 23, lr 0.01

(23,600) 0 step loss : 0.001639
(23,600) epoch loss : 0.026225
Epoch 24, lr 0.01

(24,600) 0 step loss : 0.001330
(24,600) epoch loss : 0.021276
Epoch 25, lr 0.01

(25,600) 0 step loss : 0.001808
(25,600) epoch loss : 0.028924
Epoch 26, lr 0.01

(26,600) 0 step loss : 0.002382
(26,600) epoch loss : 0.038114
Epoch 27, lr 0.01

(27,600) 0 step loss : 0.002392
(27,600) epoch loss : 0.038276
Epoch 28, lr 0.01

(28,600) 0 step loss : 0.001872
(28,600) epoch loss : 0.029960
Epoch 29, lr 0.01

(29,600) 0 step loss : 0.001396
(29,600) epoch loss : 0.022330
Epoch 30, lr 0.01

(30,600) 0 step loss : 0.001391
(30,600) epoch loss : 0.022256
Epoch 31, lr 0.01

(31,600) 0 step loss : 0.001718
(31,600) epoch loss : 0.027482
Epoch 32, lr 0.01

(32,600) 0 step loss : 0.001905
(32,600) epoch loss : 0.030474
Epoch 33, lr 0.01

(33,600) 0 step loss : 0.001728
(33,600) epoch loss : 0.027642
Epoch 34, lr 0.01

(34,600) 0 step loss : 0.001398
(34,600) epoch loss : 0.022371
Epoch 35, lr 0.01

(35,600) 0 step loss : 0.001251
(35,600) epoch loss : 0.020019
Epoch 36, lr 0.01

(36,600) 0 step loss : 0.001377
(36,600) epoch loss : 0.022026
Epoch 37, lr 0.01

(37,600) 0 step loss : 0.001556
(37,600) epoch loss : 0.024888
Epoch 38, lr 0.01

(38,600) 0 step loss : 0.001551
(38,600) epoch loss : 0.024818
Epoch 39, lr 0.01

(39,600) 0 step loss : 0.001379
(39,600) epoch loss : 0.022060
Epoch 40, lr 0.01

(40,600) 0 step loss : 0.001247
(40,600) epoch loss : 0.019950
Epoch 41, lr 0.01

(41,600) 0 step loss : 0.001282
(41,600) epoch loss : 0.020520
Epoch 42, lr 0.01

(42,600) 0 step loss : 0.001392
(42,600) epoch loss : 0.022268
Epoch 43, lr 0.01

(43,600) 0 step loss : 0.001409
(43,600) epoch loss : 0.022541
Epoch 44, lr 0.01

(44,600) 0 step loss : 0.001311
(44,600) epoch loss : 0.020976
Epoch 45, lr 0.01

(45,600) 0 step loss : 0.001222
(45,600) epoch loss : 0.019548
Epoch 46, lr 0.01

(46,600) 0 step loss : 0.001231
(46,600) epoch loss : 0.019703
Epoch 47, lr 0.01

(47,600) 0 step loss : 0.001294
(47,600) epoch loss : 0.020698
Epoch 48, lr 0.01

(48,600) 0 step loss : 0.001307
(48,600) epoch loss : 0.020906
Epoch 49, lr 0.01

(49,600) 0 step loss : 0.001250
(49,600) epoch loss : 0.020002
Epoch 50, lr 0.01

(50,600) 0 step loss : 0.001196
(50,600) epoch loss : 0.019142
Epoch 51, lr 0.01

(51,600) 0 step loss : 0.001203
(51,600) epoch loss : 0.019243
Epoch 52, lr 0.01

(52,600) 0 step loss : 0.001240
(52,600) epoch loss : 0.019841
Epoch 53, lr 0.01

(53,600) 0 step loss : 0.001246
(53,600) epoch loss : 0.019931
Epoch 54, lr 0.01

(54,600) 0 step loss : 0.001210
(54,600) epoch loss : 0.019360
Epoch 55, lr 0.01

(55,600) 0 step loss : 0.001179
(55,600) epoch loss : 0.018870
Epoch 56, lr 0.01

(56,600) 0 step loss : 0.001184
(56,600) epoch loss : 0.018952
Epoch 57, lr 0.01

(57,600) 0 step loss : 0.001202
(57,600) epoch loss : 0.019239
Epoch 58, lr 0.01

(58,600) 0 step loss : 0.001198
(58,600) epoch loss : 0.019160
Epoch 59, lr 0.01

(59,600) 0 step loss : 0.001172
(59,600) epoch loss : 0.018752
Epoch 60, lr 0.01

(60,600) 0 step loss : 0.001157
(60,600) epoch loss : 0.018506
Epoch 61, lr 0.01

(61,600) 0 step loss : 0.001163
(61,600) epoch loss : 0.018612
Epoch 62, lr 0.01

(62,600) 0 step loss : 0.001171
(62,600) epoch loss : 0.018740
Epoch 63, lr 0.01

(63,600) 0 step loss : 0.001162
(63,600) epoch loss : 0.018596
Epoch 64, lr 0.01

(64,600) 0 step loss : 0.001145
(64,600) epoch loss : 0.018325
Epoch 65, lr 0.01

(65,600) 0 step loss : 0.001140
(65,600) epoch loss : 0.018232
Epoch 66, lr 0.01

(66,600) 0 step loss : 0.001144
(66,600) epoch loss : 0.018304
Epoch 67, lr 0.01

(67,600) 0 step loss : 0.001143
(67,600) epoch loss : 0.018292
Epoch 68, lr 0.01

(68,600) 0 step loss : 0.001132
(68,600) epoch loss : 0.018119
Epoch 69, lr 0.01

(69,600) 0 step loss : 0.001122
(69,600) epoch loss : 0.017958
Epoch 70, lr 0.01

(70,600) 0 step loss : 0.001120
(70,600) epoch loss : 0.017922
Epoch 71, lr 0.01

(71,600) 0 step loss : 0.001120
(71,600) epoch loss : 0.017922
Epoch 72, lr 0.01

(72,600) 0 step loss : 0.001114
(72,600) epoch loss : 0.017828
Epoch 73, lr 0.01

(73,600) 0 step loss : 0.001104
(73,600) epoch loss : 0.017669
Epoch 74, lr 0.01

(74,600) 0 step loss : 0.001098
(74,600) epoch loss : 0.017571
Epoch 75, lr 0.01

(75,600) 0 step loss : 0.001096
(75,600) epoch loss : 0.017537
Epoch 76, lr 0.01

(76,600) 0 step loss : 0.001092
(76,600) epoch loss : 0.017473
Epoch 77, lr 0.01

(77,600) 0 step loss : 0.001084
(77,600) epoch loss : 0.017345
Epoch 78, lr 0.01

(78,600) 0 step loss : 0.001077
(78,600) epoch loss : 0.017233
Epoch 79, lr 0.01

(79,600) 0 step loss : 0.001073
(79,600) epoch loss : 0.017170
Epoch 80, lr 0.01

(80,600) 0 step loss : 0.001069
(80,600) epoch loss : 0.017108
Epoch 81, lr 0.01

(81,600) 0 step loss : 0.001063
(81,600) epoch loss : 0.017004
Epoch 82, lr 0.01

(82,600) 0 step loss : 0.001055
(82,600) epoch loss : 0.016888
Epoch 83, lr 0.01

(83,600) 0 step loss : 0.001050
(83,600) epoch loss : 0.016806
Epoch 84, lr 0.01

(84,600) 0 step loss : 0.001046
(84,600) epoch loss : 0.016730
Epoch 85, lr 0.01

(85,600) 0 step loss : 0.001040
(85,600) epoch loss : 0.016645
Epoch 86, lr 0.01

(86,600) 0 step loss : 0.001037
(86,600) epoch loss : 0.016594
Epoch 87, lr 0.01

(87,600) 0 step loss : 0.001050
(87,600) epoch loss : 0.016806
Epoch 88, lr 0.01

(88,600) 0 step loss : 0.001055
(88,600) epoch loss : 0.016882
Epoch 89, lr 0.01

(89,600) 0 step loss : 0.001053
(89,600) epoch loss : 0.016847
Epoch 90, lr 0.01

(90,600) 0 step loss : 0.001033
(90,600) epoch loss : 0.016528
Epoch 91, lr 0.01

(91,600) 0 step loss : 0.001047
(91,600) epoch loss : 0.016755
Epoch 92, lr 0.01

(92,600) 0 step loss : 0.001031
(92,600) epoch loss : 0.016500
Epoch 93, lr 0.01

(93,600) 0 step loss : 0.001030
(93,600) epoch loss : 0.016485
Epoch 94, lr 0.01

(94,600) 0 step loss : 0.001017
(94,600) epoch loss : 0.016277
Epoch 95, lr 0.01

(95,600) 0 step loss : 0.001010
(95,600) epoch loss : 0.016152
Epoch 96, lr 0.01

(96,600) 0 step loss : 0.001007
(96,600) epoch loss : 0.016118
Epoch 97, lr 0.01

(97,600) 0 step loss : 0.000994
(97,600) epoch loss : 0.015898
Epoch 98, lr 0.01

(98,600) 0 step loss : 0.000998
(98,600) epoch loss : 0.015976
Epoch 99, lr 0.01

(99,600) 0 step loss : 0.000989
(99,600) epoch loss : 0.015820
Epoch 100, lr 0.01

(100,600) 0 step loss : 0.000984
(100,600) epoch loss : 0.015746
Epoch 101, lr 0.01

(101,600) 0 step loss : 0.000983
(101,600) epoch loss : 0.015724
Epoch 102, lr 0.01

(102,600) 0 step loss : 0.000967
(102,600) epoch loss : 0.015468
Epoch 103, lr 0.01

(103,600) 0 step loss : 0.000963
(103,600) epoch loss : 0.015414
Epoch 104, lr 0.01

(104,600) 0 step loss : 0.000956
(104,600) epoch loss : 0.015302
Epoch 105, lr 0.01

(105,600) 0 step loss : 0.000958
(105,600) epoch loss : 0.015331
Epoch 106, lr 0.01

(106,600) 0 step loss : 0.000973
(106,600) epoch loss : 0.015563
Epoch 107, lr 0.01

(107,600) 0 step loss : 0.000996
(107,600) epoch loss : 0.015936
Epoch 108, lr 0.01

(108,600) 0 step loss : 0.000974
(108,600) epoch loss : 0.015591
Epoch 109, lr 0.01

(109,600) 0 step loss : 0.000972
(109,600) epoch loss : 0.015547
Epoch 110, lr 0.01

(110,600) 0 step loss : 0.000961
(110,600) epoch loss : 0.015382
Epoch 111, lr 0.01

(111,600) 0 step loss : 0.000959
(111,600) epoch loss : 0.015351
Epoch 112, lr 0.01

(112,600) 0 step loss : 0.000951
(112,600) epoch loss : 0.015215
Epoch 113, lr 0.01

(113,600) 0 step loss : 0.000945
(113,600) epoch loss : 0.015116
Epoch 114, lr 0.01

(114,600) 0 step loss : 0.000931
(114,600) epoch loss : 0.014898
Epoch 115, lr 0.01

(115,600) 0 step loss : 0.000928
(115,600) epoch loss : 0.014843
Epoch 116, lr 0.01

(116,600) 0 step loss : 0.000932
(116,600) epoch loss : 0.014904
Epoch 117, lr 0.01

(117,600) 0 step loss : 0.000931
(117,600) epoch loss : 0.014893
Epoch 118, lr 0.01

(118,600) 0 step loss : 0.000959
(118,600) epoch loss : 0.015341
Epoch 119, lr 0.01

(119,600) 0 step loss : 0.000953
(119,600) epoch loss : 0.015244
Epoch 120, lr 0.01

(120,600) 0 step loss : 0.000928
(120,600) epoch loss : 0.014842
Epoch 121, lr 0.01

(121,600) 0 step loss : 0.000924
(121,600) epoch loss : 0.014784
Epoch 122, lr 0.01

(122,600) 0 step loss : 0.000921
(122,600) epoch loss : 0.014744
Epoch 123, lr 0.01

(123,600) 0 step loss : 0.000919
(123,600) epoch loss : 0.014712
Epoch 124, lr 0.01

(124,600) 0 step loss : 0.000902
(124,600) epoch loss : 0.014427
Epoch 125, lr 0.01

(125,600) 0 step loss : 0.000898
(125,600) epoch loss : 0.014368
Epoch 126, lr 0.01

(126,600) 0 step loss : 0.000887
(126,600) epoch loss : 0.014196
Epoch 127, lr 0.01

(127,600) 0 step loss : 0.000881
(127,600) epoch loss : 0.014095
Epoch 128, lr 0.01

(128,600) 0 step loss : 0.000889
(128,600) epoch loss : 0.014227
Epoch 129, lr 0.01

(129,600) 0 step loss : 0.000894
(129,600) epoch loss : 0.014299
Epoch 130, lr 0.01

(130,600) 0 step loss : 0.000875
(130,600) epoch loss : 0.013995
Epoch 131, lr 0.01

(131,600) 0 step loss : 0.000860
(131,600) epoch loss : 0.013759
Epoch 132, lr 0.01

(132,600) 0 step loss : 0.000853
(132,600) epoch loss : 0.013642
Epoch 133, lr 0.01

(133,600) 0 step loss : 0.000848
(133,600) epoch loss : 0.013564
Epoch 134, lr 0.01

(134,600) 0 step loss : 0.000836
(134,600) epoch loss : 0.013375
Epoch 135, lr 0.01

(135,600) 0 step loss : 0.000842
(135,600) epoch loss : 0.013475
Epoch 136, lr 0.01

(136,600) 0 step loss : 0.000835
(136,600) epoch loss : 0.013360
Epoch 137, lr 0.01

(137,600) 0 step loss : 0.000830
(137,600) epoch loss : 0.013275
Epoch 138, lr 0.01

(138,600) 0 step loss : 0.000857
(138,600) epoch loss : 0.013705
Epoch 139, lr 0.01

(139,600) 0 step loss : 0.000887
(139,600) epoch loss : 0.014189
Epoch 140, lr 0.01

(140,600) 0 step loss : 0.000880
(140,600) epoch loss : 0.014072
Epoch 141, lr 0.01

(141,600) 0 step loss : 0.000894
(141,600) epoch loss : 0.014305
Epoch 142, lr 0.01

(142,600) 0 step loss : 0.000848
(142,600) epoch loss : 0.013567
Epoch 143, lr 0.01

(143,600) 0 step loss : 0.000842
(143,600) epoch loss : 0.013474
Epoch 144, lr 0.01

(144,600) 0 step loss : 0.000830
(144,600) epoch loss : 0.013276
Epoch 145, lr 0.01

(145,600) 0 step loss : 0.000829
(145,600) epoch loss : 0.013270
Epoch 146, lr 0.01

(146,600) 0 step loss : 0.000810
(146,600) epoch loss : 0.012958
Epoch 147, lr 0.01

(147,600) 0 step loss : 0.000800
(147,600) epoch loss : 0.012804
Epoch 148, lr 0.01

(148,600) 0 step loss : 0.000791
(148,600) epoch loss : 0.012664
Epoch 149, lr 0.01

(149,600) 0 step loss : 0.000781
(149,600) epoch loss : 0.012489
Epoch 150, lr 0.01

(150,600) 0 step loss : 0.000776
(150,600) epoch loss : 0.012414
Epoch 151, lr 0.01

(151,600) 0 step loss : 0.000772
(151,600) epoch loss : 0.012345
Epoch 152, lr 0.01

(152,600) 0 step loss : 0.000775
(152,600) epoch loss : 0.012396
Epoch 153, lr 0.01

(153,600) 0 step loss : 0.000782
(153,600) epoch loss : 0.012519
Epoch 154, lr 0.01

(154,600) 0 step loss : 0.000802
(154,600) epoch loss : 0.012832
Epoch 155, lr 0.01

(155,600) 0 step loss : 0.000803
(155,600) epoch loss : 0.012853
Epoch 156, lr 0.01

(156,600) 0 step loss : 0.000780
(156,600) epoch loss : 0.012485
Epoch 157, lr 0.01

(157,600) 0 step loss : 0.000788
(157,600) epoch loss : 0.012605
Epoch 158, lr 0.01

(158,600) 0 step loss : 0.000775
(158,600) epoch loss : 0.012392
Epoch 159, lr 0.01

(159,600) 0 step loss : 0.000804
(159,600) epoch loss : 0.012870
Epoch 160, lr 0.01

(160,600) 0 step loss : 0.000809
(160,600) epoch loss : 0.012940
Epoch 161, lr 0.01

(161,600) 0 step loss : 0.000825
(161,600) epoch loss : 0.013198
Epoch 162, lr 0.01

(162,600) 0 step loss : 0.000798
(162,600) epoch loss : 0.012768
Epoch 163, lr 0.01

(163,600) 0 step loss : 0.000785
(163,600) epoch loss : 0.012566
Epoch 164, lr 0.01

(164,600) 0 step loss : 0.000787
(164,600) epoch loss : 0.012592
Epoch 165, lr 0.01

(165,600) 0 step loss : 0.000764
(165,600) epoch loss : 0.012223
Epoch 166, lr 0.01

(166,600) 0 step loss : 0.000748
(166,600) epoch loss : 0.011968
Epoch 167, lr 0.01

(167,600) 0 step loss : 0.000749
(167,600) epoch loss : 0.011989
Epoch 168, lr 0.01

(168,600) 0 step loss : 0.000770
(168,600) epoch loss : 0.012317
Epoch 169, lr 0.01

(169,600) 0 step loss : 0.000777
(169,600) epoch loss : 0.012428
Epoch 170, lr 0.01

(170,600) 0 step loss : 0.000751
(170,600) epoch loss : 0.012015
Epoch 171, lr 0.01

(171,600) 0 step loss : 0.000736
(171,600) epoch loss : 0.011773
Epoch 172, lr 0.01

(172,600) 0 step loss : 0.000732
(172,600) epoch loss : 0.011716
Epoch 173, lr 0.01

(173,600) 0 step loss : 0.000723
(173,600) epoch loss : 0.011568
Epoch 174, lr 0.01

(174,600) 0 step loss : 0.000713
(174,600) epoch loss : 0.011410
Epoch 175, lr 0.01

(175,600) 0 step loss : 0.000702
(175,600) epoch loss : 0.011231
Epoch 176, lr 0.01

(176,600) 0 step loss : 0.000701
(176,600) epoch loss : 0.011222
Epoch 177, lr 0.01

(177,600) 0 step loss : 0.000694
(177,600) epoch loss : 0.011111
Epoch 178, lr 0.01

(178,600) 0 step loss : 0.000684
(178,600) epoch loss : 0.010937
Epoch 179, lr 0.01

(179,600) 0 step loss : 0.000675
(179,600) epoch loss : 0.010805
Epoch 180, lr 0.01

(180,600) 0 step loss : 0.000670
(180,600) epoch loss : 0.010713
Epoch 181, lr 0.01

(181,600) 0 step loss : 0.000666
(181,600) epoch loss : 0.010650
Epoch 182, lr 0.01

(182,600) 0 step loss : 0.000668
(182,600) epoch loss : 0.010683
Epoch 183, lr 0.01

(183,600) 0 step loss : 0.000694
(183,600) epoch loss : 0.011101
Epoch 184, lr 0.01

(184,600) 0 step loss : 0.000717
(184,600) epoch loss : 0.011468
Epoch 185, lr 0.01

(185,600) 0 step loss : 0.000766
(185,600) epoch loss : 0.012253
Epoch 186, lr 0.01

(186,600) 0 step loss : 0.000753
(186,600) epoch loss : 0.012055
Epoch 187, lr 0.01

(187,600) 0 step loss : 0.000776
(187,600) epoch loss : 0.012423
Epoch 188, lr 0.01

(188,600) 0 step loss : 0.000908
(188,600) epoch loss : 0.014523
Epoch 189, lr 0.01

(189,600) 0 step loss : 0.000884
(189,600) epoch loss : 0.014143
Epoch 190, lr 0.01

(190,600) 0 step loss : 0.000883
(190,600) epoch loss : 0.014125
Epoch 191, lr 0.01

(191,600) 0 step loss : 0.000889
(191,600) epoch loss : 0.014224
Epoch 192, lr 0.01

(192,600) 0 step loss : 0.000928
(192,600) epoch loss : 0.014852
Epoch 193, lr 0.01

(193,600) 0 step loss : 0.000846
(193,600) epoch loss : 0.013530
Epoch 194, lr 0.01

(194,600) 0 step loss : 0.000874
(194,600) epoch loss : 0.013980
Epoch 195, lr 0.01

(195,600) 0 step loss : 0.000830
(195,600) epoch loss : 0.013286
Epoch 196, lr 0.01

(196,600) 0 step loss : 0.000832
(196,600) epoch loss : 0.013318
Epoch 197, lr 0.01

(197,600) 0 step loss : 0.000818
(197,600) epoch loss : 0.013091
Epoch 198, lr 0.01

(198,600) 0 step loss : 0.000799
(198,600) epoch loss : 0.012786
Epoch 199, lr 0.01

(199,600) 0 step loss : 0.000795
(199,600) epoch loss : 0.012722
Epoch 200, lr 0.01

(200,600) 0 step loss : 0.000776
(200,600) epoch loss : 0.012412
Epoch 201, lr 0.01

(201,600) 0 step loss : 0.000763
(201,600) epoch loss : 0.012214
Epoch 202, lr 0.01

(202,600) 0 step loss : 0.000745
(202,600) epoch loss : 0.011922
Epoch 203, lr 0.01

(203,600) 0 step loss : 0.000734
(203,600) epoch loss : 0.011744
Epoch 204, lr 0.01

(204,600) 0 step loss : 0.000733
(204,600) epoch loss : 0.011736
Epoch 205, lr 0.01

(205,600) 0 step loss : 0.000728
(205,600) epoch loss : 0.011648
Epoch 206, lr 0.01

(206,600) 0 step loss : 0.000726
(206,600) epoch loss : 0.011614
Epoch 207, lr 0.01

(207,600) 0 step loss : 0.000729
(207,600) epoch loss : 0.011665
Epoch 208, lr 0.01

(208,600) 0 step loss : 0.000701
(208,600) epoch loss : 0.011212
Epoch 209, lr 0.01

(209,600) 0 step loss : 0.000694
(209,600) epoch loss : 0.011111
Epoch 210, lr 0.01

(210,600) 0 step loss : 0.000686
(210,600) epoch loss : 0.010975
Epoch 211, lr 0.01

(211,600) 0 step loss : 0.000667
(211,600) epoch loss : 0.010673
Epoch 212, lr 0.01

(212,600) 0 step loss : 0.000667
(212,600) epoch loss : 0.010666
Epoch 213, lr 0.01

(213,600) 0 step loss : 0.000657
(213,600) epoch loss : 0.010516
Epoch 214, lr 0.01

(214,600) 0 step loss : 0.000649
(214,600) epoch loss : 0.010381
Epoch 215, lr 0.01

(215,600) 0 step loss : 0.000643
(215,600) epoch loss : 0.010292
Epoch 216, lr 0.01

(216,600) 0 step loss : 0.000631
(216,600) epoch loss : 0.010103
Epoch 217, lr 0.01

(217,600) 0 step loss : 0.000624
(217,600) epoch loss : 0.009986
Epoch 218, lr 0.01

