Epoch 0, lr 0.001

(0,15010) 0 step loss : 0.035721
(0,15010) epoch loss : 0.035721
Epoch 1, lr 0.001

(1,15010) 0 step loss : 0.060426
(1,15010) epoch loss : 0.060426
Epoch 2, lr 0.001

(2,15010) 0 step loss : 0.032340
(2,15010) epoch loss : 0.032340
Epoch 3, lr 0.001

(3,15010) 0 step loss : 0.026281
(3,15010) epoch loss : 0.026281
Epoch 4, lr 0.001

(4,15010) 0 step loss : 0.034207
(4,15010) epoch loss : 0.034207
Epoch 5, lr 0.001

(5,15010) 0 step loss : 0.032908
(5,15010) epoch loss : 0.032908
Epoch 6, lr 0.001

(6,15010) 0 step loss : 0.025039
(6,15010) epoch loss : 0.025039
Epoch 7, lr 0.001

(7,15010) 0 step loss : 0.021529
(7,15010) epoch loss : 0.021529
Epoch 8, lr 0.001

(8,15010) 0 step loss : 0.024464
(8,15010) epoch loss : 0.024464
Epoch 9, lr 0.001

(9,15010) 0 step loss : 0.026456
(9,15010) epoch loss : 0.026456
Epoch 10, lr 0.001

(10,15010) 0 step loss : 0.023505
(10,15010) epoch loss : 0.023505
Epoch 11, lr 0.001

(11,15010) 0 step loss : 0.019531
(11,15010) epoch loss : 0.019531
Epoch 12, lr 0.001

(12,15010) 0 step loss : 0.019055
(12,15010) epoch loss : 0.019055
Epoch 13, lr 0.001

(13,15010) 0 step loss : 0.020934
(13,15010) epoch loss : 0.020934
Epoch 14, lr 0.001

(14,15010) 0 step loss : 0.021333
(14,15010) epoch loss : 0.021333
Epoch 15, lr 0.001

(15,15010) 0 step loss : 0.019458
(15,15010) epoch loss : 0.019458
Epoch 16, lr 0.001

(16,15010) 0 step loss : 0.017453
(16,15010) epoch loss : 0.017453
Epoch 17, lr 0.001

(17,15010) 0 step loss : 0.017029
(17,15010) epoch loss : 0.017029
Epoch 18, lr 0.001

(18,15010) 0 step loss : 0.017524
(18,15010) epoch loss : 0.017524
Epoch 19, lr 0.001

(19,15010) 0 step loss : 0.017411
(19,15010) epoch loss : 0.017411
Epoch 20, lr 0.001

(20,15010) 0 step loss : 0.016362
(20,15010) epoch loss : 0.016362
Epoch 21, lr 0.001

(21,15010) 0 step loss : 0.015207
(21,15010) epoch loss : 0.015207
Epoch 22, lr 0.001

(22,15010) 0 step loss : 0.014641
(22,15010) epoch loss : 0.014641
Epoch 23, lr 0.001

(23,15010) 0 step loss : 0.014596
(23,15010) epoch loss : 0.014596
Epoch 24, lr 0.001

(24,15010) 0 step loss : 0.014452
(24,15010) epoch loss : 0.014452
Epoch 25, lr 0.001

(25,15010) 0 step loss : 0.013894
(25,15010) epoch loss : 0.013894
Epoch 26, lr 0.001

(26,15010) 0 step loss : 0.013126
(26,15010) epoch loss : 0.013126
Epoch 27, lr 0.001

(27,15010) 0 step loss : 0.012643
(27,15010) epoch loss : 0.012643
Epoch 28, lr 0.001

(28,15010) 0 step loss : 0.012418
(28,15010) epoch loss : 0.012418
Epoch 29, lr 0.001

(29,15010) 0 step loss : 0.012303
(29,15010) epoch loss : 0.012303
Epoch 30, lr 0.001

(30,15010) 0 step loss : 0.011933
(30,15010) epoch loss : 0.011933
Epoch 31, lr 0.001

(31,15010) 0 step loss : 0.011375
(31,15010) epoch loss : 0.011375
Epoch 32, lr 0.001

(32,15010) 0 step loss : 0.011053
(32,15010) epoch loss : 0.011053
Epoch 33, lr 0.001

(33,15010) 0 step loss : 0.010981
(33,15010) epoch loss : 0.010981
Epoch 34, lr 0.001

(34,15010) 0 step loss : 0.010900
(34,15010) epoch loss : 0.010900
Epoch 35, lr 0.001

(35,15010) 0 step loss : 0.010534
(35,15010) epoch loss : 0.010534
Epoch 36, lr 0.001

(36,15010) 0 step loss : 0.010042
(36,15010) epoch loss : 0.010042
