Epoch 0, lr 0.001

(0,220) 0 step loss : 0.002282
(0,220) epoch loss : 0.036515
Epoch 1, lr 0.001

(1,220) 0 step loss : 0.004523
(1,220) epoch loss : 0.072365
Epoch 2, lr 0.001

(2,220) 0 step loss : 0.002126
(2,220) epoch loss : 0.034010
Epoch 3, lr 0.001

(3,220) 0 step loss : 0.001684
(3,220) epoch loss : 0.026940
Epoch 4, lr 0.001

(4,220) 0 step loss : 0.002547
(4,220) epoch loss : 0.040758
Epoch 5, lr 0.001

(5,220) 0 step loss : 0.002355
(5,220) epoch loss : 0.037683
Epoch 6, lr 0.001

(6,220) 0 step loss : 0.001596
(6,220) epoch loss : 0.025529
Epoch 7, lr 0.001

(7,220) 0 step loss : 0.001400
(7,220) epoch loss : 0.022398
Epoch 8, lr 0.001

(8,220) 0 step loss : 0.001768
(8,220) epoch loss : 0.028293
Epoch 9, lr 0.001

(9,220) 0 step loss : 0.001945
(9,220) epoch loss : 0.031125
Epoch 10, lr 0.001

(10,220) 0 step loss : 0.001663
(10,220) epoch loss : 0.026606
Epoch 11, lr 0.001

(11,220) 0 step loss : 0.001329
(11,220) epoch loss : 0.021270
Epoch 12, lr 0.001

(12,220) 0 step loss : 0.001323
(12,220) epoch loss : 0.021166
Epoch 13, lr 0.001

(13,220) 0 step loss : 0.001533
(13,220) epoch loss : 0.024530
Epoch 14, lr 0.001

(14,220) 0 step loss : 0.001605
(14,220) epoch loss : 0.025677
Epoch 15, lr 0.001

(15,220) 0 step loss : 0.001448
(15,220) epoch loss : 0.023166
Epoch 16, lr 0.001

(16,220) 0 step loss : 0.001287
(16,220) epoch loss : 0.020597
Epoch 17, lr 0.001

(17,220) 0 step loss : 0.001297
(17,220) epoch loss : 0.020750
Epoch 18, lr 0.001

(18,220) 0 step loss : 0.001394
(18,220) epoch loss : 0.022306
Epoch 19, lr 0.001

(19,220) 0 step loss : 0.001408
(19,220) epoch loss : 0.022524
Epoch 20, lr 0.001

(20,220) 0 step loss : 0.001322
(20,220) epoch loss : 0.021157
Epoch 21, lr 0.001

(21,220) 0 step loss : 0.001252
(21,220) epoch loss : 0.020039
Epoch 22, lr 0.001

(22,220) 0 step loss : 0.001261
(22,220) epoch loss : 0.020175
Epoch 23, lr 0.001

(23,220) 0 step loss : 0.001296
(23,220) epoch loss : 0.020738
Epoch 24, lr 0.001

(24,220) 0 step loss : 0.001288
(24,220) epoch loss : 0.020614
Epoch 25, lr 0.001

(25,220) 0 step loss : 0.001245
(25,220) epoch loss : 0.019924
Epoch 26, lr 0.001

(26,220) 0 step loss : 0.001219
(26,220) epoch loss : 0.019505
Epoch 27, lr 0.001

(27,220) 0 step loss : 0.001223
(27,220) epoch loss : 0.019573
Epoch 28, lr 0.001

(28,220) 0 step loss : 0.001227
(28,220) epoch loss : 0.019631
Epoch 29, lr 0.001

(29,220) 0 step loss : 0.001210
(29,220) epoch loss : 0.019357
Epoch 30, lr 0.001

(30,220) 0 step loss : 0.001188
(30,220) epoch loss : 0.019014
Epoch 31, lr 0.001

(31,220) 0 step loss : 0.001180
(31,220) epoch loss : 0.018882
Epoch 32, lr 0.001

(32,220) 0 step loss : 0.001177
