Epoch 0, lr 0.001

(0,15010) 0 step loss : 1.029449
(0,15010) epoch loss : 1.029449
Epoch 1, lr 0.001

(1,15010) 0 step loss : 0.905669
(1,15010) epoch loss : 0.905669
Epoch 2, lr 0.001

(2,15010) 0 step loss : 0.819325
(2,15010) epoch loss : 0.819325
Epoch 3, lr 0.001

(3,15010) 0 step loss : 0.750496
(3,15010) epoch loss : 0.750496
Epoch 4, lr 0.001

(4,15010) 0 step loss : 0.667593
(4,15010) epoch loss : 0.667593
Epoch 5, lr 0.001

(5,15010) 0 step loss : 0.604624
(5,15010) epoch loss : 0.604624
Epoch 6, lr 0.001

(6,15010) 0 step loss : 0.552230
(6,15010) epoch loss : 0.552230
Epoch 7, lr 0.001

(7,15010) 0 step loss : 0.511203
(7,15010) epoch loss : 0.511203
Epoch 8, lr 0.001

(8,15010) 0 step loss : 0.464799
(8,15010) epoch loss : 0.464799
Epoch 9, lr 0.001

(9,15010) 0 step loss : 0.429585
(9,15010) epoch loss : 0.429585
Epoch 10, lr 0.001

(10,15010) 0 step loss : 0.398281
(10,15010) epoch loss : 0.398281
Epoch 11, lr 0.001

(11,15010) 0 step loss : 0.366250
(11,15010) epoch loss : 0.366250
Epoch 12, lr 0.001

(12,15010) 0 step loss : 0.343311
(12,15010) epoch loss : 0.343311
Epoch 13, lr 0.001

(13,15010) 0 step loss : 0.322711
(13,15010) epoch loss : 0.322711
Epoch 14, lr 0.001

(14,15010) 0 step loss : 0.303126
(14,15010) epoch loss : 0.303126
Epoch 15, lr 0.001

(15,15010) 0 step loss : 0.286003
(15,15010) epoch loss : 0.286003
Epoch 16, lr 0.001

(16,15010) 0 step loss : 0.270089
(16,15010) epoch loss : 0.270089
Epoch 17, lr 0.001

(17,15010) 0 step loss : 0.256787
(17,15010) epoch loss : 0.256787
Epoch 18, lr 0.001

(18,15010) 0 step loss : 0.247624
(18,15010) epoch loss : 0.247624
Epoch 19, lr 0.001

(19,15010) 0 step loss : 0.234504
(19,15010) epoch loss : 0.234504
Epoch 20, lr 0.001

(20,15010) 0 step loss : 0.222710
(20,15010) epoch loss : 0.222710
Epoch 21, lr 0.001

(21,15010) 0 step loss : 0.214961
(21,15010) epoch loss : 0.214961
Epoch 22, lr 0.001

(22,15010) 0 step loss : 0.207728
(22,15010) epoch loss : 0.207728
Epoch 23, lr 0.001

(23,15010) 0 step loss : 0.198067
(23,15010) epoch loss : 0.198067
Epoch 24, lr 0.001

(24,15010) 0 step loss : 0.189991
(24,15010) epoch loss : 0.189991
Epoch 25, lr 0.001

(25,15010) 0 step loss : 0.184684
(25,15010) epoch loss : 0.184684
Epoch 26, lr 0.001

(26,15010) 0 step loss : 0.178784
(26,15010) epoch loss : 0.178784
Epoch 27, lr 0.001

(27,15010) 0 step loss : 0.171636
(27,15010) epoch loss : 0.171636
Epoch 28, lr 0.001

(28,15010) 0 step loss : 0.165369
(28,15010) epoch loss : 0.165369
Epoch 29, lr 0.001

(29,15010) 0 step loss : 0.161279
(29,15010) epoch loss : 0.161279
Epoch 30, lr 0.001

(30,15010) 0 step loss : 0.157330
(30,15010) epoch loss : 0.157330
Epoch 31, lr 0.001

(31,15010) 0 step loss : 0.152770
(31,15010) epoch loss : 0.152770
Epoch 32, lr 0.001

(32,15010) 0 step loss : 0.147446
(32,15010) epoch loss : 0.147446
Epoch 33, lr 0.001

(33,15010) 0 step loss : 0.143422
(33,15010) epoch loss : 0.143422
Epoch 34, lr 0.001

(34,15010) 0 step loss : 0.140514
(34,15010) epoch loss : 0.140514
Epoch 35, lr 0.001

(35,15010) 0 step loss : 0.137078
(35,15010) epoch loss : 0.137078
Epoch 36, lr 0.001

(36,15010) 0 step loss : 0.132883
(36,15010) epoch loss : 0.132883
Epoch 37, lr 0.001

(37,15010) 0 step loss : 0.131020
(37,15010) epoch loss : 0.131020
Epoch 38, lr 0.001

(38,15010) 0 step loss : 0.131984
(38,15010) epoch loss : 0.131984
Epoch 39, lr 0.001

(39,15010) 0 step loss : 0.128093
(39,15010) epoch loss : 0.128093
Epoch 40, lr 0.001

(40,15010) 0 step loss : 0.123014
(40,15010) epoch loss : 0.123014
Epoch 41, lr 0.001

(41,15010) 0 step loss : 0.119086
(41,15010) epoch loss : 0.119086
Epoch 42, lr 0.001

(42,15010) 0 step loss : 0.116589
(42,15010) epoch loss : 0.116589
Epoch 43, lr 0.001

(43,15010) 0 step loss : 0.114625
(43,15010) epoch loss : 0.114625
Epoch 44, lr 0.001

(44,15010) 0 step loss : 0.110778
(44,15010) epoch loss : 0.110778
Epoch 45, lr 0.001

(45,15010) 0 step loss : 0.108993
(45,15010) epoch loss : 0.108993
Epoch 46, lr 0.001

(46,15010) 0 step loss : 0.107989
(46,15010) epoch loss : 0.107989
Epoch 47, lr 0.001

(47,15010) 0 step loss : 0.105770
(47,15010) epoch loss : 0.105770
Epoch 48, lr 0.001

(48,15010) 0 step loss : 0.104477
(48,15010) epoch loss : 0.104477
Epoch 49, lr 0.001

(49,15010) 0 step loss : 0.101568
(49,15010) epoch loss : 0.101568
Epoch 50, lr 0.001

(50,15010) 0 step loss : 0.099367
(50,15010) epoch loss : 0.099367
Epoch 51, lr 0.001

(51,15010) 0 step loss : 0.098174
(51,15010) epoch loss : 0.098174
Epoch 52, lr 0.001

(52,15010) 0 step loss : 0.094595
(52,15010) epoch loss : 0.094595
Epoch 53, lr 0.001

(53,15010) 0 step loss : 0.092455
(53,15010) epoch loss : 0.092455
Epoch 54, lr 0.001

(54,15010) 0 step loss : 0.090919
(54,15010) epoch loss : 0.090919
Epoch 55, lr 0.001

(55,15010) 0 step loss : 0.089433
(55,15010) epoch loss : 0.089433
Epoch 56, lr 0.001

(56,15010) 0 step loss : 0.087695
(56,15010) epoch loss : 0.087695
Epoch 57, lr 0.001

(57,15010) 0 step loss : 0.086557
(57,15010) epoch loss : 0.086557
Epoch 58, lr 0.001

(58,15010) 0 step loss : 0.084497
(58,15010) epoch loss : 0.084497
Epoch 59, lr 0.001

(59,15010) 0 step loss : 0.084417
(59,15010) epoch loss : 0.084417
Epoch 60, lr 0.001

(60,15010) 0 step loss : 0.083184
(60,15010) epoch loss : 0.083184
Epoch 61, lr 0.001

(61,15010) 0 step loss : 0.080379
(61,15010) epoch loss : 0.080379
Epoch 62, lr 0.001

(62,15010) 0 step loss : 0.079159
(62,15010) epoch loss : 0.079159
Epoch 63, lr 0.001

(63,15010) 0 step loss : 0.077847
(63,15010) epoch loss : 0.077847
Epoch 64, lr 0.001

(64,15010) 0 step loss : 0.077450
(64,15010) epoch loss : 0.077450
